address,annotate,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,journal,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,year,entrytype,tags,intrahash,citation,merged
 , ,A Aggarwal and B Alpern and A K Chandra and M Snil,In Proceedings of the Nineteenth Annual ACM Symposium on Theory of Computing, , , , , , , , , , , , , , , , ,A model for hierarchical memory, , , , , , ,"A. Aggarwal, B. Alpern, A. K. Chandra, and M. Snil. A model for hierarchical memory. In Proceedings of the Nineteenth Annual ACM Symposium on Theory of Computing, pages 305-313, 1987.", 
 , ,A Aiken and E L Wimmers,In Proceedings of the ACM SIGPLAN Conference on Fundional Programming Languages Computer Architecture, , , , , , , , , , , , , , , , ,Type inclusion constraints and type iafexence, , , , , , ,"A. Aiken and E. L. Wimmers. Type inclusion constraints and type iafexence. In Proceedings of the ACM SIGPLAN Conference on Fundional Programming Languages Computer Architecture, pages 31-41, 1993.", 
 , ,A Avritzer and B Larson,Proceedings of the 1993 International Symposium on Software Testing Analysis ISSTA, , , , , , , , , , , , , ,ACM Press, , ,Load testing software using deterministic state testing, , , , , , ,"A. Avritzer and B. Larson. Load testing software using deterministic state testing. Proceedings of the 1993 International Symposium on Software Testing Analysis ISSTA. ACM Press, June 1993, pages 82-88.", 
